"design","label","fold","arm","mae","rmse","rsq","rsq_trad"
"block","A",1,"OLS",0.798904061503559,1.00074702197838,0.374023875753959,0.373043056231302
"block","A",1,"GraphSAGE",0.803518444192272,1.00794533714817,0.364890045868146,0.363991288753304
"block","A",1,"GraphSAGE + LayerNorm",0.826178056069779,1.03259472016039,0.332614347917403,0.332503636408965
"block","A",2,"OLS",0.798950432418362,1.00500229024675,0.357924410129848,0.356411988190987
"block","A",2,"GraphSAGE",0.811793243692119,1.01961167858301,0.337753109690943,0.337564733247252
"block","A",2,"GraphSAGE + LayerNorm",0.817783830221018,1.03099826722321,0.324801052580357,0.322686528406706
"block","A",3,"OLS",0.794264908084699,1.00113808538496,0.333780072711061,0.333232996854795
"block","A",3,"GraphSAGE",0.797809499233638,1.00649054550814,0.327936954957919,0.326084364638074
"block","A",3,"GraphSAGE + LayerNorm",0.808409683404527,1.01963223299961,0.310350862450841,0.308370919863557
"block","A",4,"OLS",0.802267563855368,1.00580746568749,0.341638600962474,0.341163558687771
"block","A",4,"GraphSAGE",0.804422895276004,1.01315472954179,0.335479279231627,0.331503011497331
"block","A",4,"GraphSAGE + LayerNorm",0.811074804978689,1.01594862780934,0.328078127309663,0.327811003264817
"block","A",5,"OLS",0.795044463203623,1.0017537924801,0.369179883365767,0.368506227307386
"block","A",5,"GraphSAGE",0.81060959365313,1.02277011751264,0.350477602873798,0.341731394450157
"block","A",5,"GraphSAGE + LayerNorm",0.81608454965034,1.02798506251819,0.33607778436609,0.335001463136309
"block","A",6,"OLS",0.790647220560155,0.977264190081412,0.379415442198005,0.378511991303289
"block","A",6,"GraphSAGE",0.795649615525711,0.983828658473536,0.370783137672301,0.370134644383399
"block","A",6,"GraphSAGE + LayerNorm",0.802985345174487,0.996692169787237,0.354178103546777,0.353556049086548
"block","A",1,"XGBoost",0.911893343547718,1.14054036409632,0.240390339996493,0.185651270199096
"block","A",2,"XGBoost",0.898524378142403,1.13717264655478,0.239327258660136,0.176001061398369
"block","A",3,"XGBoost",0.920548478978434,1.1621482736117,0.189253308624686,0.101518341558656
"block","A",4,"XGBoost",0.917928319147959,1.15130917120423,0.21469038678825,0.136759452796169
"block","A",5,"XGBoost",0.922627387831215,1.15376782908563,0.23747912903926,0.162308840672612
"block","A",6,"XGBoost",0.904131240310933,1.12652700976471,0.233785593959623,0.174167441537257
"block","A",1,"XGBoost + lags",0.897485210939306,1.13120712674462,0.242252245768573,0.198924648472056
"block","A",2,"XGBoost + lags",0.889478149148072,1.12708882778575,0.24419279320774,0.190549803718062
"block","A",3,"XGBoost + lags",0.895394598561642,1.12933390771337,0.209421876139584,0.151540984509183
"block","A",4,"XGBoost + lags",0.886723881769867,1.12251777748377,0.233559136026898,0.179394622967901
"block","A",5,"XGBoost + lags",0.890365928047111,1.11313813931427,0.259690511945271,0.220268269082954
"block","A",6,"XGBoost + lags",0.898030567216787,1.11914582887298,0.240417122128532,0.184953955703695
"block","B | Ix=0.0",1,"OLS",2.10283042606053,2.92546429741119,0.778794914214224,0.777361897120366
"block","B | Ix=0.0",1,"GraphSAGE",0.862738436292605,1.1006802278166,0.968620762856867,0.968483918263263
"block","B | Ix=0.0",1,"GraphSAGE + LayerNorm",0.905409427377334,1.144494324864,0.965930169030269,0.965924897173357
"block","B | Ix=0.0",2,"OLS",2.08741887276056,2.95365376092927,0.79737596249562,0.794280119261447
"block","B | Ix=0.0",2,"GraphSAGE",0.889789037349349,1.12454137684649,0.970379068946517,0.970179976952569
"block","B | Ix=0.0",2,"GraphSAGE + LayerNorm",0.920558970454284,1.18375085593694,0.967432905548546,0.966957134127428
"block","B | Ix=0.0",3,"OLS",1.99330513087258,2.80408516613737,0.790402252211234,0.790192259936663
"block","B | Ix=0.0",3,"GraphSAGE",0.867350595880593,1.10251214290002,0.967819773970889,0.967565599974075
"block","B | Ix=0.0",3,"GraphSAGE + LayerNorm",0.905614107975852,1.12872241799878,0.96645870065035,0.966005128214473
"block","B | Ix=0.0",4,"OLS",2.11998446042029,3.04723188166925,0.758071109067755,0.757028956734603
"block","B | Ix=0.0",4,"GraphSAGE",0.919629883560733,1.1695028636091,0.964541785761694,0.96421128620876
"block","B | Ix=0.0",4,"GraphSAGE + LayerNorm",0.927921921789694,1.20164719091989,0.962311814311015,0.962216910886871
"block","B | Ix=0.0",5,"OLS",2.05283786463352,2.93702521590013,0.770152507992695,0.769724588627005
"block","B | Ix=0.0",5,"GraphSAGE",0.862261303237496,1.09048551696239,0.968270747756826,0.968255242020279
"block","B | Ix=0.0",5,"GraphSAGE + LayerNorm",0.912496648473965,1.16017709555365,0.96435887378281,0.964068049640517
"block","B | Ix=0.0",6,"OLS",2.03514437423672,2.94193343944907,0.779785257169453,0.779353939264685
"block","B | Ix=0.0",6,"GraphSAGE",0.872092245140095,1.10979674966297,0.96860624144601,0.968600886265317
"block","B | Ix=0.0",6,"GraphSAGE + LayerNorm",0.907550064855306,1.15768671774102,0.966025756148098,0.965832547911637
"block","B | Ix=0.0",1,"XGBoost",1.01018169042791,1.27514169416403,0.957801660563285,0.957701323299082
"block","B | Ix=0.0",2,"XGBoost",1.01854183990422,1.28305820411829,0.961355132287904,0.961180511258101
"block","B | Ix=0.0",3,"XGBoost",1.03648260537092,1.3055435514869,0.954687338323947,0.954519855710187
"block","B | Ix=0.0",4,"XGBoost",1.03544118625794,1.321959049356,0.954528734524905,0.9542722833831
"block","B | Ix=0.0",5,"XGBoost",1.02246479502814,1.29704429245514,0.955099692015428,0.955090126645256
