"design","label","arm","mae_mean","mae_sd","rmse_mean","rmse_sd","rsq_mean","rsq_sd","rsq_trad_mean","rsq_trad_sd"
"random","A","OLS",0.797150764741165,0.0163442477393859,0.999029557717136,0.0210021859015432,0.3593535821469,0.0361016411133514,0.35749521214617,0.0359368327490697
"random","A","XGBoost",0.915469048707481,0.0198318317638532,1.15035283566199,0.0220244867895789,0.222421490945386,0.0258745339438379,0.14827297113329,0.0423648866208076
"random","A","XGBoost + lags",0.896887632275422,0.0115093310443815,1.12371956165809,0.0116754956654147,0.242001172319754,0.0195276682707393,0.187399356983815,0.0324375861157863
"random","B | Ix=0.0","GraphSAGE",0.879081014992693,0.0196972856687482,1.10966559756971,0.0267905394216845,0.968428262179216,0.000824842231469721,0.968291160489857,0.000863136373414402
"random","B | Ix=0.0","GraphSAGE + LayerNorm",0.906399049413073,0.0240333612316287,1.15935421920783,0.0341898683839918,0.965471912978518,0.00198728980361517,0.965359291191217,0.00198602355709799
"random","B | Ix=0.0","OLS",2.06442787921335,0.0757741501839687,2.93257935121253,0.122993866277669,0.778930109583312,0.0159568763437412,0.778366799302295,0.0158277442763808
"random","B | Ix=0.0","XGBoost",1.01602099243285,0.0288949113256148,1.29664448973608,0.0383447082709452,0.956781697977644,0.00232082236842626,0.956676498905911,0.00233662771682528
"random","B | Ix=0.0","XGBoost + lags",1.02594698872672,0.0236221426580315,1.31643996307055,0.0311766862888999,0.955474403971528,0.00236105777495095,0.955332084223669,0.00240784137440772
"random","B | Ix=0.4","GraphSAGE",0.898686712143557,0.0203715186067559,1.13871866656905,0.03252833993752,0.965502133217301,0.00265814004125757,0.965252054486657,0.00267009820842414
"random","B | Ix=0.4","GraphSAGE + LayerNorm",0.931778769429691,0.0277481832230771,1.19846866230632,0.0503672074374674,0.961663634116583,0.00294024137722228,0.961541392791494,0.00294914348537796
"random","B | Ix=0.4","OLS",2.0494100540556,0.075667624633902,2.88499083843215,0.158472204164156,0.77859485979997,0.00860308437690444,0.777739962450332,0.00900452721615607
"random","B | Ix=0.4","XGBoost",1.0191928968856,0.0177448873528482,1.29886645962177,0.0246751300479856,0.954916115759504,0.00318719076833331,0.954789876913134,0.00324092273030587
"random","B | Ix=0.4","XGBoost + lags",1.02542955696653,0.0157259547341467,1.30840374412943,0.0239591531109939,0.954273376770128,0.00342534765891696,0.954109266569245,0.00345309932544723
"random","B | Ix=0.7","GraphSAGE",0.908585314328896,0.0134986152583701,1.14859083217874,0.0172116430338327,0.9623648288786,0.0021791341621361,0.962218722726815,0.00222490011966634
"random","B | Ix=0.7","GraphSAGE + LayerNorm",0.963054989424084,0.0267185705222261,1.23588628243449,0.0342032248645641,0.956679961210563,0.000870612728245093,0.956332606344819,0.000816663565585603
"random","B | Ix=0.7","OLS",2.01875054767186,0.0488527350359965,2.82668211620186,0.087489094595803,0.772120103248667,0.0190298216299796,0.770973997640599,0.0192923183973784
"random","B | Ix=0.7","XGBoost",1.03265085878705,0.025466782526566,1.31419265413488,0.039655894045097,0.950639235569955,0.00347678855114236,0.950532311196917,0.00351633486167843
"random","B | Ix=0.7","XGBoost + lags",1.03534031014055,0.0279692224645437,1.314725358291,0.0420675122733122,0.950609178867071,0.00303571478286751,0.950520951362394,0.00305605836856161
"random","C | Iu=0.0","GraphSAGE",0.804133103438057,0.0191980648715518,1.00874851734743,0.0214305921252082,0.345899881950093,0.0272637951687454,0.340309554408999,0.0305476574304767
"random","C | Iu=0.0","GraphSAGE + LayerNorm",0.81264202923609,0.0199392477757998,1.02113828742749,0.0250907473442053,0.326003964529328,0.0289447741976715,0.32410447388863,0.0311442156806861
"random","C | Iu=0.0","OLS",0.795059260357448,0.0187431118375945,0.998409544762862,0.0238920136570897,0.355004448252593,0.0292933814980964,0.353859364507645,0.029056767951762
