"design","label","fold","arm","mae","rmse","rsq","rsq_trad"
"random","B | Ix=0.4",2,"GraphSAGE",0.924955967332619,1.16753234764573,0.961885479983283,0.961626113460157
"random","B | Ix=0.4",2,"GraphSAGE + LayerNorm",0.936868497252244,1.18046668941908,0.960878413591508,0.960771164496692
"random","B | Ix=0.4",3,"OLS",2.17840180545423,3.17272361671561,0.762019112508276,0.760567110569986
"random","B | Ix=0.4",3,"GraphSAGE",0.903771464123192,1.1575026480886,0.968217951993364,0.968131376138563
"random","B | Ix=0.4",3,"GraphSAGE + LayerNorm",0.95611572138417,1.25384746407188,0.962612471559247,0.962605413464691
"random","B | Ix=0.4",4,"OLS",1.99433726512786,2.82047119956306,0.778593119888187,0.778039199825958
"random","B | Ix=0.4",4,"GraphSAGE",0.868451795790045,1.08314701576875,0.96780209791783,0.967265345764858
"random","B | Ix=0.4",4,"GraphSAGE + LayerNorm",0.88173693788312,1.11324456147468,0.965549531036365,0.965420866424218
"random","B | Ix=0.4",5,"OLS",1.96580526888529,2.72419679339133,0.779007885330557,0.77714788027354
"random","B | Ix=0.4",5,"GraphSAGE",0.88583194713269,1.11804975680683,0.962726352180293,0.962462782434336
"random","B | Ix=0.4",5,"GraphSAGE + LayerNorm",0.956445750237978,1.20130237442205,0.956829539657176,0.956664432769843
"random","B | Ix=0.4",6,"OLS",2.07510283637158,2.92740940656281,0.783283623261203,0.782371743902461
"random","B | Ix=0.4",6,"GraphSAGE",0.894287923553217,1.14350653513463,0.96687248077733,0.966793304800192
"random","B | Ix=0.4",6,"GraphSAGE + LayerNorm",0.937194705995687,1.24343771772071,0.960845183843045,0.960735829429255
"random","B | Ix=0.4",1,"XGBoost",1.01362705485986,1.29852809551217,0.956702555167769,0.956626558475726
"random","B | Ix=0.4",2,"XGBoost",1.03268579135474,1.29259771057019,0.953186407179367,0.952964614487318
"random","B | Ix=0.4",3,"XGBoost",1.03550985887647,1.33012659955048,0.957935815756727,0.957917136757997
"random","B | Ix=0.4",4,"XGBoost",0.988156507325311,1.2563539563436,0.956160093174557,0.955959020803629
"random","B | Ix=0.4",5,"XGBoost",1.02996470075302,1.30227764845143,0.949248160516938,0.949073129660559
"random","B | Ix=0.4",6,"XGBoost",1.0152134681442,1.31331474730274,0.956263662761663,0.956198801293577
"random","B | Ix=0.4",1,"XGBoost + lags",1.00244339592638,1.28449350283623,0.957586648292901,0.957559058887368
"random","B | Ix=0.4",2,"XGBoost + lags",1.04059061639585,1.31179688676046,0.951842472394117,0.951556988347653
"random","B | Ix=0.4",3,"XGBoost + lags",1.02322528665056,1.32716032925582,0.958248874414503,0.958104622608688
"random","B | Ix=0.4",4,"XGBoost + lags",1.01298808466084,1.28190852991352,0.954228798767336,0.954149189430021
"random","B | Ix=0.4",5,"XGBoost + lags",1.0424177383381,1.30211111467103,0.949184613404634,0.949086153767943
"random","B | Ix=0.4",6,"XGBoost + lags",1.03091221982744,1.34295210133952,0.954548853347277,0.954199586373796
"random","B | Ix=0.7",1,"OLS",2.05671351837618,2.83980451074763,0.788557990667327,0.786727849710252
"random","B | Ix=0.7",1,"GraphSAGE",0.909265732227477,1.15246621612831,0.964899442184283,0.964875215804888
"random","B | Ix=0.7",1,"GraphSAGE + LayerNorm",1.00627220267578,1.29165998704553,0.956464844156775,0.955878154371589
"random","B | Ix=0.7",2,"OLS",1.97702595963781,2.78246461044483,0.765959343711585,0.76575917726251
"random","B | Ix=0.7",2,"GraphSAGE",0.913431341955804,1.17117501948843,0.95876809870956,0.958500115578152
"random","B | Ix=0.7",2,"GraphSAGE + LayerNorm",0.95434200877356,1.2134542856784,0.95548527897426,0.955449752020441
"random","B | Ix=0.7",3,"OLS",2.09891268878747,2.98973545123862,0.74363255230206,0.741813079806653
"random","B | Ix=0.7",3,"GraphSAGE",0.898447390705782,1.1338985799872,0.963078431287057,0.962862117528606
"random","B | Ix=0.7",3,"GraphSAGE + LayerNorm",0.955368868667198,1.22877805463789,0.956428575911682,0.956387035532313
"random","B | Ix=0.7",4,"OLS",1.99963183172676,2.82582729291564,0.758602254114208,0.756906727878146
"random","B | Ix=0.7",4,"GraphSAGE",0.893455042517278,1.1262430194534,0.961473899627351,0.96138589856959
"random","B | Ix=0.7",4,"GraphSAGE + LayerNorm",0.92437308968046,1.19816726030344,0.956568737194335,0.956296461101196
"random","B | Ix=0.7",5,"OLS",2.00273349595264,2.73918557934095,0.789549011367258,0.788553863969852
"random","B | Ix=0.7",5,"GraphSAGE",0.931882751612889,1.16349561829289,0.961909538572146,0.961850720146771
"random","B | Ix=0.7",5,"GraphSAGE + LayerNorm",0.968872977773595,1.22297172274147,0.958144961737309,0.957850767491936
"random","B | Ix=0.7",6,"OLS",1.97748579155028,2.78307525252348,0.786419467329566,0.786083287216179
"random","B | Ix=0.7",6,"GraphSAGE",0.905029626954147,1.14426653972221,0.964059562891205,0.963838268732882
"random","B | Ix=0.7",6,"GraphSAGE + LayerNorm",0.969100788973914,1.26028638420023,0.956987369289017,0.956133467551442
"random","B | Ix=0.7",1,"XGBoost",1.06094423314218,1.36917374608532,0.950582696560561,0.950423668833264
"random","B | Ix=0.7",2,"XGBoost",1.04208127188668,1.33639135869791,0.94608171061783,0.945965566381391
"random","B | Ix=0.7",3,"XGBoost",1.00022373535455,1.26725059011597,0.953701135287786,0.953613274206593
"random","B | Ix=0.7",4,"XGBoost",1.02853463579324,1.31030995216661,0.947900717437356,0.94773273348351
"random","B | Ix=0.7",5,"XGBoost",1.05740012318568,1.33085906740241,0.950178202482765,0.950086160779667
"random","B | Ix=0.7",6,"XGBoost",1.00672115336001,1.27117121034104,0.955390951033431,0.955372463497077
"random","B | Ix=0.7",1,"XGBoost + lags",1.0605812611583,1.37338599127717,0.950401429613853,0.950118157730708
"random","B | Ix=0.7",2,"XGBoost + lags",1.03975497666598,1.31624521053299,0.947612456058981,0.947582428783521
"random","B | Ix=0.7",3,"XGBoost + lags",1.01556282472675,1.27362554905728,0.953154046102866,0.953145399463621
"random","B | Ix=0.7",4,"XGBoost + lags",1.01469314986696,1.29757204327547,0.948813693502121,0.94874400501826
"random","B | Ix=0.7",5,"XGBoost + lags",1.07521650434933,1.35511207221266,0.948348138073391,0.94825036767273
"random","B | Ix=0.7",6,"XGBoost + lags",1.00623314407596,1.27241128339043,0.955325309851215,0.955285349505525
"random","C | Iu=0.0",1,"OLS",0.800408847591089,0.986249455210202,0.338369584068001,0.337352815508483
"random","C | Iu=0.0",1,"SEM",0.800401034352145,0.98624873184776,0.338364204284542,0.337353787542297
"random","C | Iu=0.0",1,"GraphSAGE",0.817120585764672,1.00612728835156,0.330807898098498,0.310372358057174
"random","C | Iu=0.0",1,"GraphSAGE + LayerNorm",0.812605968965227,1.00179518990124,0.317668956470225,0.316298254581531
"random","C | Iu=0.0",2,"OLS",0.815088561505043,1.01968633321717,0.323381701284604,0.321129723009677
"random","C | Iu=0.0",2,"SEM",0.815092389138482,1.01969027474124,0.323378646052968,0.321124474751222
"random","C | Iu=0.0",2,"GraphSAGE",0.822861841367629,1.02915234035727,0.315722140787035,0.308466968474816
"random","C | Iu=0.0",2,"GraphSAGE + LayerNorm",0.836709974960869,1.05363437629593,0.28300367711655,0.275174505329422
"random","C | Iu=0.0",3,"OLS",0.787895119915063,0.978655948147487,0.382224655148032,0.3815417545069
"random","C | Iu=0.0",3,"SEM",0.787889600798011,0.978644987790179,0.382244192887094,0.3815556071492
"random","C | Iu=0.0",3,"GraphSAGE",0.795452007444996,0.987996388132789,0.370207952016344,0.369680101080123
"random","C | Iu=0.0",3,"GraphSAGE + LayerNorm",0.811020215824489,1.00856463945209,0.343349726117629,0.343162742356403
"random","C | Iu=0.0",4,"OLS",0.767758968612275,0.97563803410518,0.395893589384595,0.393215021304093
"random","C | Iu=0.0",4,"SEM",0.767758013173342,0.975637506736514,0.39589328131692,0.393215677283638
"random","C | Iu=0.0",4,"GraphSAGE",0.775145084951691,0.985387240867897,0.3859926512166,0.381027655451214
"random","C | Iu=0.0",4,"GraphSAGE + LayerNorm",0.783640380518506,0.999037371406837,0.364969175802192,0.363760182449194
"random","C | Iu=0.0",5,"OLS",0.783968321441143,0.995279877336304,0.359289260856306,0.359173705345916
"random","C | Iu=0.0",5,"SEM",0.783969014547951,0.995280025974543,0.359289059665356,0.359173513939859
"random","C | Iu=0.0",5,"GraphSAGE",0.793145256184767,1.00532916163125,0.34625391176344,0.346167600945643
"random","C | Iu=0.0",5,"GraphSAGE + LayerNorm",0.799458279519572,1.01141199684374,0.338330997965182,0.338231519988482
"random","C | Iu=0.0",6,"OLS",0.815235743080076,1.03494762056083,0.33086789877402,0.330743167370799
"random","C | Iu=0.0",6,"SEM",0.815234063533116,1.03494314825292,0.330874562685371,0.330748951462859
"random","C | Iu=0.0",6,"GraphSAGE",0.821073844914585,1.03849868474379,0.326414737818645,0.326142642445022
"random","C | Iu=0.0",6,"GraphSAGE + LayerNorm",0.832417355627876,1.05238615066511,0.30870125370419,0.307999638626748
"random","C | Iu=0.0",1,"XGBoost",0.902860466884049,1.12751916307936,0.219936364790074,0.133922675766912
"random","C | Iu=0.0",2,"XGBoost",0.941309955500362,1.17083720725523,0.201899892486797,0.10495137942211
"random","C | Iu=0.0",3,"XGBoost",0.918039756848407,1.14683112437609,0.223739778244222,0.150723228503907
"random","C | Iu=0.0",4,"XGBoost",0.895976469282676,1.14093303306738,0.231901869140654,0.170191871355961
"random","C | Iu=0.0",5,"XGBoost",0.919373781829232,1.16227654900186,0.205454085980996,0.126085738003335
"random","C | Iu=0.0",6,"XGBoost",0.918141042450216,1.16503708998021,0.213275686421501,0.151922431435377
"random","C | Iu=0.0",1,"XGBoost + lags",0.886807337515383,1.10199913521584,0.228489652609823,0.172684212770044
"random","C | Iu=0.0",2,"XGBoost + lags",0.926462308114408,1.16348067882786,0.191036806759691,0.116163467804458
"random","C | Iu=0.0",3,"XGBoost + lags",0.919810862178868,1.1329246174452,0.226268791300323,0.171195059083676
"random","C | Iu=0.0",4,"XGBoost + lags",0.869587588919209,1.10105853811794,0.261837925949856,0.227180282258088
"random","C | Iu=0.0",5,"XGBoost + lags",0.888812609793319,1.12914186662992,0.226376117565342,0.175203332279934
"random","C | Iu=0.0",6,"XGBoost + lags",0.911883410803133,1.161679157571,0.212480961307951,0.156804135468663
"random","C | Iu=0.4",1,"OLS",0.806009171029013,1.0017913957563,0.332885845819948,0.331669140231611
"random","C | Iu=0.4",1,"SEM",0.805682988573147,1.00118190628379,0.333626491098345,0.332482117288461
"random","C | Iu=0.4",1,"GraphSAGE",0.820933107414888,1.02058879040974,0.319443779079118,0.306353006473225
"random","C | Iu=0.4",1,"GraphSAGE + LayerNorm",0.824085831662567,1.02559408386796,0.310397855586245,0.299532589745846
"random","C | Iu=0.4",2,"OLS",0.823806964672238,1.02950839387247,0.354058687755902,0.353610600319681
"random","C | Iu=0.4",2,"SEM",0.823740444059218,1.0297203795233,0.354350159194481,0.353344377361598
"random","C | Iu=0.4",2,"GraphSAGE",0.836232263603509,1.04162343478205,0.340189819358232,0.338307935361721
"random","C | Iu=0.4",2,"GraphSAGE + LayerNorm",0.834077779134315,1.05175848682784,0.329990327116371,0.325368691604309
