"STATEFP","STUSPS","arm","n","mae","rmse","rsq","rsq_trad","mean_bias","resid_moran"
"01","AL","OLS",67,9.1699908584346,10.529834562042,0.869066048128872,0.720113767731111,-5.98106085079912,0.311463600853672
"01","AL","SEM",67,9.26210862659282,10.479758640276,0.90619089371397,0.722769504557155,-7.28464356942079,0.291718991984061
"01","AL","XGBoost",67,4.15132849451321,5.56383382159569,0.937467743117101,0.921857600938724,-2.37219770801601,-0.0121998065938563
"01","AL","XGBoost + lags",67,4.46882743778513,5.65126927056819,0.940759608171134,0.919382292886499,-2.4093257010161,0.185339957219257
"01","AL","GraphSAGE",67,4.13572418702106,4.85986009595139,0.968474747487418,0.940380823316159,-3.3021537320494,0.365709970989545
"01","AL","GraphSAGE + LayerNorm",67,4.06321636376098,4.89493851279989,0.952616532806566,0.939517056068592,-1.73583214652607,0.500197265295361
"05","AR","OLS",75,4.76357923597286,5.73133228350156,0.777480297487732,0.773010975109593,-0.799761526226508,0.232366010612609
"05","AR","SEM",75,4.48126609129282,5.46216084127448,0.836233575190178,0.793831338309009,-2.43519625974847,0.189855639151303
"05","AR","XGBoost",75,5.80577603047689,7.04377700950673,0.756751539955671,0.657149426435762,-3.67229817199707,0.212267913238362
"05","AR","XGBoost + lags",75,4.52184331258138,5.68546733230023,0.831184486083921,0.776629395293007,-2.7473874613444,0.198659235784317
"05","AR","GraphSAGE",75,3.91816756934994,4.73941226592774,0.906846351662218,0.844781794093151,-2.71339905624185,0.14274485804101
"05","AR","GraphSAGE + LayerNorm",75,4.4695700798757,5.49910414914213,0.894463620320483,0.791033064941515,-2.35513238980654,0.130390392077038
"06","CA","OLS",58,11.4279028454329,14.7194388625795,0.689664915674535,0.184585295589551,11.1536939257998,0.411901794625544
"06","CA","SEM",58,13.4472009664044,16.8567498675306,0.665000376324196,-0.0694087068963856,13.4011222565388,0.481685572765561
"06","CA","XGBoost",58,10.4519324822261,13.1886861496448,0.619077124652516,0.345365185972273,8.46203932531949,0.188639470175487
"06","CA","XGBoost + lags",58,9.06050365974163,11.5867175239742,0.671326760611766,0.49473772950656,6.84922110064276,0.241600719964235
"06","CA","GraphSAGE",58,7.67131747449456,9.36357074967386,0.687431210553973,0.670026530384866,2.09676348157392,0.406073742949247
"06","CA","GraphSAGE + LayerNorm",58,8.35231774582883,10.073899236285,0.644872282209642,0.618063436843444,2.52881961855511,0.406137331472478
"08","CO","OLS",64,9.07084164795628,10.7940047157026,0.709911234278821,0.644581688945911,1.50270351079812,0.371985010691829
"08","CO","SEM",64,8.99002280966305,10.8349781853707,0.777363173415023,0.641878269514304,2.74507533254369,0.371880610095985
"08","CO","XGBoost",64,8.70705825746059,11.3353121746661,0.661499516195442,0.608040168716319,4.1568278414011,0.188373132017511
"08","CO","XGBoost + lags",64,8.41515931487084,10.980663058576,0.64879695732678,0.63218306364834,2.06982677102089,0.270134833019288
"08","CO","GraphSAGE",64,7.75308333399693,9.45091621173009,0.800607586154014,0.727527662422344,-4.59033230530085,0.366994371666112
"08","CO","GraphSAGE + LayerNorm",64,10.0607745130673,12.5898136531959,0.733154168953313,0.516481388147694,-5.85482841919635,0.43817632114141
"12","FL","OLS",67,6.24060772095427,7.62173387292939,0.838295030961842,0.700025531303789,-5.17338824975064,0.135330123690758
"12","FL","SEM",67,5.33619840117065,6.78300913634095,0.867496939557438,0.762413622492842,-4.22910253241049,0.284205086669127
"12","FL","XGBoost",67,5.45168921114793,6.63706015417699,0.818181176267865,0.772527846326501,1.77772395290546,0.202884822964208
"12","FL","XGBoost + lags",67,7.20134764770963,8.86584150802016,0.668874749602226,0.594102236493364,3.28753868501578,0.309725335219173
"12","FL","GraphSAGE",67,4.35886990817139,6.11094910048235,0.858545669170113,0.807161357937323,-1.97358691649472,0.327084234820353
"12","FL","GraphSAGE + LayerNorm",67,6.42098893505205,8.60266934062895,0.799214283886419,0.617841791444377,-2.25520688452181,0.450080515615261
"13","GA","OLS",159,7.48640543643163,8.95801296207051,0.792382791507893,0.683858240101003,-4.92293505666239,0.393448480796307
"13","GA","SEM",159,9.5053817898557,10.6451778985336,0.864803058135805,0.553558723971753,-8.58608700811348,0.347220987107658
"13","GA","XGBoost",159,5.14428616097888,6.45417137334569,0.881798085974653,0.835888324644068,-3.41367077929419,0.182298099763584
"13","GA","XGBoost + lags",159,5.41272130114477,6.68709273105634,0.872515694521619,0.823829500826359,-3.49691374748758,0.204027522403132
"13","GA","GraphSAGE",159,4.63925580587721,5.60052553565201,0.898021619662941,0.876429143459393,-2.30704669201175,0.41261232506841
"13","GA","GraphSAGE + LayerNorm",159,4.94963375640522,5.96354354003692,0.892340946897469,0.859890597070919,-1.96732690019119,0.432778821895649
"16","ID","OLS",44,16.081727729697,21.4504796034525,0.0369379328768356,-2.32498943616673,-14.1901662898155,0.338973988205938
"16","ID","SEM",44,15.9904255804968,20.7040716336521,0.0383522674563374,-2.09761742963968,-14.2737198021631,0.326198198842902
"16","ID","XGBoost",44,9.76465930331837,12.495176425631,0.527702655880694,-0.128238826473781,-9.05305642994967,0.23617241214676
"16","ID","XGBoost + lags",44,10.7497410236705,13.9774118118287,0.361230090582753,-0.411788948076884,-9.70456413269043,0.064348130992932
"16","ID","GraphSAGE",44,8.23467509654505,11.0250466250819,0.5205592552822,0.121630745718657,-7.17425868088834,-0.107099841985404
"16","ID","GraphSAGE + LayerNorm",44,7.3846187666313,9.49128341812331,0.597250721120244,0.349022257164078,-5.42263143497453,0.28589237926479
"17","IL","OLS",102,4.63344984187431,5.95774911544579,0.782195775152955,0.762011308710106,1.69987123814068,0.554314210195867
"17","IL","SEM",102,5.39855094164276,7.01729243907743,0.765336520399326,0.669834986545205,3.72774243320412,0.621958142211809
"17","IL","XGBoost",102,5.60341230579451,6.83149291377472,0.730145726080446,0.687087333490063,-2.53363492255117,0.130168453223228
"17","IL","XGBoost + lags",102,4.9182585921942,6.10281540548201,0.782147714855118,0.75028055167387,-2.17471291785147,0.315850186748831
"17","IL","GraphSAGE",102,4.41221076805537,5.38798737506056,0.836992138939436,0.805354199612075,-1.86165811775406,0.49810938987334
"17","IL","GraphSAGE + LayerNorm",102,5.63625349332095,6.66506041738427,0.799692531842508,0.702148302039935,-3.76479077111942,0.407453057916303
"18","IN","OLS",92,4.41256134442946,5.68927908305364,0.709145681684583,0.621644794815074,2.27089029122563,0.319544912136559
"18","IN","SEM",92,4.11218588709603,5.40042690125722,0.7262508583913,0.659088681382771,2.30541282625047,0.39507510025886
"18","IN","XGBoost",92,4.37388181022976,5.56025091106037,0.638960161705635,0.638611759621899,-0.101248076895009,0.229592185298981
"18","IN","XGBoost + lags",92,4.34898428626682,5.70665483664386,0.644389940897978,0.619330179576741,1.37211459698884,0.240654869581057
"18","IN","GraphSAGE",92,6.41463397598029,7.93585936642657,0.632307841853246,0.263838395461915,5.21427011270741,0.5681492345872
