"source","target","rsq_trad","bias","cal_slope"
"fortworth","columbus",0.718935377179946,-0.00202577681807851,0.973303824282053
"sandiego","columbus",0.704827333205534,-0.0246788859078327,0.936865941040763
"twincities","columbus",0.68734142861796,-0.111829413046457,0.951025434154224
"dallas","columbus",0.684114002200041,-0.124017100390592,1.07055658338792
"sandiego","twincities",0.676480820154364,0.0875415399857207,0.99931168912486
"broward","twincities",0.674217590857977,-0.00295220580263949,1.08672291292697
"chicago","columbus",0.666614242956158,0.112068873856306,1.03765541816282
"dallas","twincities",0.665191432738197,-0.0371489084184476,1.12794580082047
"columbus","twincities",0.660276577165412,0.110579189831471,1.06874499353414
"fortworth","twincities",0.659253390283197,0.106060987492956,1.04731484745254
"fortworth","sandiego",0.658796618558086,0.0249299395222592,1.03644199615112
"twincities","sandiego",0.657104381312622,-0.0833027856805953,1.00214675527749
"broward","columbus",0.656278785206501,-0.10259386729618,1.01723735926478
"columbus","sandiego",0.651106597995746,0.0262838762997515,1.05397709350461
"broward","sandiego",0.647689782189214,-0.084637635742842,1.09465217485699
"dc","columbus",0.645604466356726,0.147806103226256,1.11288055021091
"chicago","la",0.631831526611399,-0.0406810130745519,1.17351007696998
"dc","denver",0.631598666016305,-0.0462523158147987,1.21281490173669
"dallas","sandiego",0.629937641402386,-0.105363594173298,1.11633780060707
"denver","columbus",0.628094432317365,0.209927565937733,0.937713572515967
"la","denver",0.623855660130341,0.0321054921489362,0.953890628702571
"chicago","twincities",0.621238366250875,0.169848566302376,1.08976238988591
"denver","la",0.617643182850048,-0.0173004023714997,1.02960695078381
"columbus","denver",0.606467136188909,-0.177959703561654,1.07164838975028
"chicago","sandiego",0.605769959795123,0.146237039135155,1.12084136769866
"fortworth","denver",0.604768902009827,-0.189967346438947,1.05396805105994
"la","columbus",0.604703147592009,0.211646375780298,0.880646486379582
"columbus","fortworth",0.603299682364233,0.00971516370442742,1.00397532598046
"sandiego","fortworth",0.602775030347645,-0.0106735464749548,0.966666342518969
"dc","sandiego",0.601623592384579,0.144947459568388,1.19983458407855
"vegas","twincities",0.600560688705623,-0.0218806517247795,1.11826887033586
"vegas","sandiego",0.599390228902314,-0.126451437554279,1.02973395684853
"sandiego","la",0.589378356473649,-0.223062973164079,1.0780671037078
"fortworth","la",0.584276343415967,-0.216221244523588,1.10092420186044
"la","sandiego",0.582595965999092,0.229164077787453,0.95257454525453
"twincities","fortworth",0.582445988819597,-0.0980066763221218,0.966677860223053
"vegas","columbus",0.582126041284988,-0.166374486203985,0.983722118353739
"columbus","la",0.581266852955219,-0.209070885513737,1.10854527810377
"denver","sandiego",0.580704565057738,0.225655794285805,0.986046021967738
"chicago","denver",0.579613780271641,-0.0255650027021791,1.11147026161842
"dc","la",0.57458367092747,-0.0297312030254685,1.25912147454118
"dallas","fortworth",0.569194837863159,-0.1218026856484,1.06057264294949
"broward","fortworth",0.569150827868699,-0.0815844157979047,1.06530058791407
"sandiego","denver",0.567272528437971,-0.221714150023263,1.01981599158478
"chicago","fortworth",0.55353148119555,0.110555960688083,1.01294748435876
"twincities","broward",0.545219381447618,0.023753190179041,0.901906350011491
"twincities","la",0.542878393279934,-0.304363517046517,1.08580217999301
"dallas","la",0.541633268599906,-0.30081708810076,1.1494753077414
"broward","la",0.541133450663783,-0.261232324370222,1.20582991113557
"sandiego","broward",0.53831641972536,0.09680836964043,0.910183479667604
"nashville","twincities",0.537935439809776,-0.178384796696541,1.24033768159005
"la","twincities",0.535770069501691,0.296574381848336,0.920040471626682
"la","chicago",0.530306192779491,0.0799500193172327,0.82226609850609
"dallas","broward",0.529525856483079,-0.0157497512749527,0.986432463947872
"dc","twincities",0.521924909846469,0.264620601866515,1.22698297315127
"fortworth","broward",0.518342168681999,0.113133381162485,0.949780267573896
"vegas","fortworth",0.51818258196469,-0.103499239678394,1.02844542490571
"dallas","denver",0.517084926593504,-0.275740236694139,1.11728420981548
"columbus","chicago",0.514947920132524,-0.115307615296548,0.869422225316324
"dc","fortworth",0.514818730412734,0.18444125209448,1.16386497520256
"denver","fortworth",0.512423840407394,0.228926164575336,0.966348891709739
"la","fortworth",0.511788655116279,0.199840293131902,0.877586089842661
"fortworth","chicago",0.509420996607324,-0.114794908499562,0.861009544947784
"sandiego","chicago",0.508100883752862,-0.139480049975753,0.857453837611016
"vegas","broward",0.506258762375019,0.0389343510167936,0.987288737300166
"dc","chicago",0.504321557491453,0.0536308273511582,0.970161301145611
"twincities","denver",0.4923039542433,-0.295204922041614,1.01952507438169
"denver","twincities",0.489235024211959,0.342723911357737,1.02778714022294
"columbus","broward",0.487851026229681,0.140595391773384,0.951829546439617
"broward","chicago",0.484063718887798,-0.201960950426047,0.971143111298338
"twincities","dallas",0.479355746981107,0.0287586129321597,0.873815048148555
"broward","denver",0.471536992215195,-0.283995257248258,1.11368989014245
"denver","chicago",0.470082234978909,0.0917217433473513,0.793661438949896
"twincities","chicago",0.467974674259628,-0.229008967329904,0.866373836487962
"dallas","chicago",0.46622084701084,-0.236169503239673,0.942017267682868
"broward","dallas",0.464468951562499,0.0137679119693639,0.910507640852286
"nashville","sandiego",0.456199528868584,-0.312152766976313,1.12274449667463
"fortworth","dallas",0.455451016476193,0.12916108105789,0.894661772594362
"columbus","dallas",0.453207381228357,0.150358895692896,0.935410814409146
"sandiego","dallas",0.450996067447633,0.111280146804335,0.848891910875818
"nashville","columbus",0.449511447290606,-0.326430079245746,1.08443697981538
"broward","vegas",0.441795332645645,-0.0062672910191631,0.876229253074054
"chicago","broward",0.439025785799996,0.221451167081218,0.970431249630017
"columbus","vegas",0.438618355570303,0.0522306347776586,0.854053418624501
"vegas","dallas",0.42825725673865,0.0365050179067816,0.884987055336528
"denver","dc",0.426194012966618,0.038093656079202,0.79657438891018
"vegas","la",0.425533708805681,-0.324279663485634,1.06379544856034
"nashville","vegas",0.424876197832169,-0.228188406720681,1.07408882979264
"sandiego","vegas",0.416929600696215,0.0607425065192604,0.790899310481121
"nashville","broward",0.408706813705363,-0.17937730354607,1.09025415266689
"vegas","denver",0.39848162062408,-0.369763463031948,1.03301755050166
"dc","broward",0.39577671260292,0.267147255390232,1.12504808043546
"nashville","fortworth",0.389988721815819,-0.289564547864648,1.11993533855774
"chicago","dc",0.385955144843375,-0.0481691466515225,0.862705375406322
"fortworth","vegas",0.383223709534399,0.0589695485562302,0.773564177865235
"columbus","dc",0.378281372398036,-0.163268808027653,0.826861951434882
"fortworth","dc",0.377828476092498,-0.175200320961838,0.833026825404883
"chicago","dallas",0.374607454721881,0.25221562888243,0.939833442550012
