"label","fold","arm","mae","rmse","rsq","rsq_trad"
"A",1,"OLS",0.798904061503559,1.00074702197838,0.374023875753959,0.373043056231302
"A",1,"GraphSAGE",0.803518444192272,1.00794533714817,0.364890045868146,0.363991288753304
"A",1,"GraphSAGE + LayerNorm",0.826178056069779,1.03259472016039,0.332614347917403,0.332503636408965
"A",2,"OLS",0.798950432418362,1.00500229024675,0.357924410129848,0.356411988190987
"A",2,"GraphSAGE",0.811793243692119,1.01961167858301,0.337753109690943,0.337564733247252
"A",2,"GraphSAGE + LayerNorm",0.817783830221018,1.03099826722321,0.324801052580357,0.322686528406706
"A",3,"OLS",0.794264908084699,1.00113808538496,0.333780072711061,0.333232996854795
"A",3,"GraphSAGE",0.797809499233638,1.00649054550814,0.327936954957919,0.326084364638074
"A",3,"GraphSAGE + LayerNorm",0.808409683404527,1.01963223299961,0.310350862450841,0.308370919863557
"A",4,"OLS",0.802267563855368,1.00580746568749,0.341638600962474,0.341163558687771
"A",4,"GraphSAGE",0.804422895276004,1.01315472954179,0.335479279231627,0.331503011497331
"A",4,"GraphSAGE + LayerNorm",0.811074804978689,1.01594862780934,0.328078127309663,0.327811003264817
"A",5,"OLS",0.795044463203623,1.0017537924801,0.369179883365767,0.368506227307386
"A",5,"GraphSAGE",0.81060959365313,1.02277011751264,0.350477602873798,0.341731394450157
"A",5,"GraphSAGE + LayerNorm",0.81608454965034,1.02798506251819,0.33607778436609,0.335001463136309
"A",6,"OLS",0.790647220560155,0.977264190081412,0.379415442198005,0.378511991303289
"A",6,"GraphSAGE",0.795649615525711,0.983828658473536,0.370783137672301,0.370134644383399
"A",6,"GraphSAGE + LayerNorm",0.802985345174487,0.996692169787237,0.354178103546777,0.353556049086548
"A",1,"XGBoost",0.911893343547718,1.14054036409632,0.240390339996493,0.185651270199096
"A",2,"XGBoost",0.898524378142403,1.13717264655478,0.239327258660136,0.176001061398369
"A",3,"XGBoost",0.920548478978434,1.1621482736117,0.189253308624686,0.101518341558656
"A",4,"XGBoost",0.917928319147959,1.15130917120423,0.21469038678825,0.136759452796169
"A",5,"XGBoost",0.922627387831215,1.15376782908563,0.23747912903926,0.162308840672612
"A",6,"XGBoost",0.904131240310933,1.12652700976471,0.233785593959623,0.174167441537257
"A",1,"XGBoost + lags",0.897485210939306,1.13120712674462,0.242252245768573,0.198924648472056
"A",2,"XGBoost + lags",0.889478149148072,1.12708882778575,0.24419279320774,0.190549803718062
"A",3,"XGBoost + lags",0.895394598561642,1.12933390771337,0.209421876139584,0.151540984509183
"A",4,"XGBoost + lags",0.886723881769867,1.12251777748377,0.233559136026898,0.179394622967901
"A",5,"XGBoost + lags",0.890365928047111,1.11313813931427,0.259690511945271,0.220268269082954
"A",6,"XGBoost + lags",0.898030567216787,1.11914582887298,0.240417122128532,0.184953955703695
"B | Ix=0.0",1,"OLS",2.10283042606053,2.92546429741119,0.778794914214224,0.777361897120366
"B | Ix=0.0",1,"GraphSAGE",0.862738436292605,1.1006802278166,0.968620762856867,0.968483918263263
"B | Ix=0.0",1,"GraphSAGE + LayerNorm",0.905409427377334,1.144494324864,0.965930169030269,0.965924897173357
"B | Ix=0.0",2,"OLS",2.08741887276056,2.95365376092927,0.79737596249562,0.794280119261447
"B | Ix=0.0",2,"GraphSAGE",0.889789037349349,1.12454137684649,0.970379068946517,0.970179976952569
"B | Ix=0.0",2,"GraphSAGE + LayerNorm",0.920558970454284,1.18375085593694,0.967432905548546,0.966957134127428
"B | Ix=0.0",3,"OLS",1.99330513087258,2.80408516613737,0.790402252211234,0.790192259936663
"B | Ix=0.0",3,"GraphSAGE",0.867350595880593,1.10251214290002,0.967819773970889,0.967565599974075
"B | Ix=0.0",3,"GraphSAGE + LayerNorm",0.905614107975852,1.12872241799878,0.96645870065035,0.966005128214473
"B | Ix=0.0",4,"OLS",2.11998446042029,3.04723188166925,0.758071109067755,0.757028956734603
"B | Ix=0.0",4,"GraphSAGE",0.919629883560733,1.1695028636091,0.964541785761694,0.96421128620876
"B | Ix=0.0",4,"GraphSAGE + LayerNorm",0.927921921789694,1.20164719091989,0.962311814311015,0.962216910886871
"B | Ix=0.0",5,"OLS",2.05283786463352,2.93702521590013,0.770152507992695,0.769724588627005
"B | Ix=0.0",5,"GraphSAGE",0.862261303237496,1.09048551696239,0.968270747756826,0.968255242020279
"B | Ix=0.0",5,"GraphSAGE + LayerNorm",0.912496648473965,1.16017709555365,0.96435887378281,0.964068049640517
"B | Ix=0.0",6,"OLS",2.03514437423672,2.94193343944907,0.779785257169453,0.779353939264685
"B | Ix=0.0",6,"GraphSAGE",0.872092245140095,1.10979674966297,0.96860624144601,0.968600886265317
"B | Ix=0.0",6,"GraphSAGE + LayerNorm",0.907550064855306,1.15768671774102,0.966025756148098,0.965832547911637
"B | Ix=0.0",1,"XGBoost",1.01018169042791,1.27514169416403,0.957801660563285,0.957701323299082
"B | Ix=0.0",2,"XGBoost",1.01854183990422,1.28305820411829,0.961355132287904,0.961180511258101
"B | Ix=0.0",3,"XGBoost",1.03648260537092,1.3055435514869,0.954687338323947,0.954519855710187
"B | Ix=0.0",4,"XGBoost",1.03544118625794,1.321959049356,0.954528734524905,0.9542722833831
"B | Ix=0.0",5,"XGBoost",1.02246479502814,1.29704429245514,0.955099692015428,0.955090126645256
"B | Ix=0.0",6,"XGBoost",0.989175985507058,1.25922821847463,0.959685485787242,0.959575990469222
"B | Ix=0.0",1,"XGBoost + lags",1.01749835245028,1.29079034426047,0.956856234694441,0.956656766843848
"B | Ix=0.0",2,"XGBoost + lags",1.04091037754833,1.35785978759278,0.956718532512715,0.956522261154976
"B | Ix=0.0",3,"XGBoost + lags",1.04293691580562,1.31172528622624,0.954291971027073,0.954088140047112
"B | Ix=0.0",4,"XGBoost + lags",1.04633175029779,1.3489209536006,0.952724791460318,0.952387990317092
"B | Ix=0.0",5,"XGBoost + lags",1.02890310049819,1.32548255145691,0.953123749958749,0.953099200435406
"B | Ix=0.0",6,"XGBoost + lags",1.00877996635403,1.2860129460805,0.95788084627702,0.957838002901664
"B | Ix=0.4",1,"OLS",2.12053988708938,3.02470333464009,0.796169931727154,0.794937798770359
"B | Ix=0.4",1,"GraphSAGE",0.941527591013768,1.19313780047907,0.968097599804604,0.968091877196005
"B | Ix=0.4",1,"GraphSAGE + LayerNorm",1.00277643983545,1.30803011589645,0.961734855092104,0.961650868645055
"B | Ix=0.4",2,"OLS",2.01864071462839,2.86160341106029,0.774715476737131,0.772806508523642
"B | Ix=0.4",2,"GraphSAGE",0.899995045871951,1.16058740488006,0.962647253879798,0.962629173543794
"B | Ix=0.4",2,"GraphSAGE + LayerNorm",0.932405817872741,1.19887935057512,0.960132370184085,0.960122497023716
"B | Ix=0.4",3,"OLS",1.94216609411312,2.76446702682063,0.795418847224538,0.795198235733056
"B | Ix=0.4",3,"GraphSAGE",0.872784355867186,1.10930014294896,0.967096309985225,0.967023162594079
"B | Ix=0.4",3,"GraphSAGE + LayerNorm",0.856629109869425,1.1081918532959,0.967252922057898,0.967089023273215
"B | Ix=0.4",4,"OLS",1.987793653026,2.7303474337709,0.755128714206928,0.74897229249503
"B | Ix=0.4",4,"GraphSAGE",0.890784401988833,1.130117224574,0.957233709649155,0.95699362670466
"B | Ix=0.4",4,"GraphSAGE + LayerNorm",0.922894806896736,1.15261205597322,0.955681519404361,0.955264515266049
"B | Ix=0.4",5,"OLS",2.08942634816874,2.93905486314344,0.807812735042164,0.80334414673796
"B | Ix=0.4",5,"GraphSAGE",0.915485314981225,1.16419462946759,0.96947732049152,0.969143783425093
"B | Ix=0.4",5,"GraphSAGE + LayerNorm",0.962841546160881,1.26015027956922,0.964799229255742,0.963847680096445
"B | Ix=0.4",6,"OLS",2.19002895816518,3.07237110346321,0.722792420721856,0.710219544215505
"B | Ix=0.4",6,"GraphSAGE",0.908327166919426,1.13843995250753,0.960266794841526,0.960212925730422
"B | Ix=0.4",6,"GraphSAGE + LayerNorm",0.943956986617857,1.20521465307311,0.955520533930185,0.955408656855965
"B | Ix=0.4",1,"XGBoost",1.06713028777425,1.44838799395617,0.953164142482819,0.952979214803078
"B | Ix=0.4",2,"XGBoost",1.03626461469353,1.32704607683149,0.951336482019018,0.951140501955985
"B | Ix=0.4",3,"XGBoost",1.00309909643102,1.29453935075262,0.95538354547283,0.955090173432646
"B | Ix=0.4",4,"XGBoost",1.00724340998375,1.26899898119197,0.945941058621104,0.94577389899704
"B | Ix=0.4",5,"XGBoost",1.04404360554602,1.31377750463668,0.960829155680011,0.96070519538104
"B | Ix=0.4",6,"XGBoost",1.04861881345502,1.33830148096465,0.945021120213192,0.945016843971435
"B | Ix=0.4",1,"XGBoost + lags",1.0935554205948,1.44102058090767,0.953626884651223,0.953456352819727
"B | Ix=0.4",2,"XGBoost + lags",1.03527460732519,1.33755187969471,0.950412989026819,0.950363829445873
"B | Ix=0.4",3,"XGBoost + lags",0.998356148279485,1.28657104966602,0.955763436267544,0.955641340400177
"B | Ix=0.4",4,"XGBoost + lags",1.0159492133388,1.28460695990872,0.944593147152934,0.944431794362485
"B | Ix=0.4",5,"XGBoost + lags",1.06623393629669,1.36419681635498,0.957815593678596,0.957631259445096
"B | Ix=0.4",6,"XGBoost + lags",1.05983130344457,1.35386259608208,0.943748859470191,0.943730775806121
"B | Ix=0.7",1,"OLS",1.85347490581905,2.63712180370138,0.744469512975344,0.687767109355254
"B | Ix=0.7",1,"GraphSAGE",0.907531473156799,1.15841702294451,0.939757975315156,0.93975123729519
"B | Ix=0.7",1,"GraphSAGE + LayerNorm",0.993379883398063,1.29298388817821,0.925189584946415,0.924940702203997
"B | Ix=0.7",2,"OLS",1.96804885615179,2.70873593341684,0.690366962479766,0.671005873333324
"B | Ix=0.7",2,"GraphSAGE",0.892748641893499,1.12740711655357,0.943126399055705,0.943007678122319
"B | Ix=0.7",2,"GraphSAGE + LayerNorm",0.902863214886064,1.14514936095386,0.941238041012291,0.9411997629508
"B | Ix=0.7",3,"OLS",1.9751988627266,2.63584944169821,0.812327430419644,0.802604292722453
"B | Ix=0.7",3,"GraphSAGE",0.910451332290801,1.1552129676321,0.962702139671861,0.962084165870307
"B | Ix=0.7",3,"GraphSAGE + LayerNorm",0.917445788227356,1.1575840701983,0.962541162811576,0.96192835980254
"B | Ix=0.7",4,"OLS",2.42275088383402,3.47618464263566,0.763828982034642,0.750513405944436
"B | Ix=0.7",4,"GraphSAGE",0.970083036371002,1.25589563814754,0.967802119998481,0.967435182759219
"B | Ix=0.7",4,"GraphSAGE + LayerNorm",1.09024508603621,1.44342204801648,0.958275086161522,0.956984179564035
"B | Ix=0.7",5,"OLS",2.03004000635517,2.89156905959338,0.730914167744557,0.720116166576674
"B | Ix=0.7",5,"GraphSAGE",0.936069750775577,1.19476799845549,0.952690355734296,0.952216513053443
"B | Ix=0.7",5,"GraphSAGE + LayerNorm",1.01008642230895,1.31165154623073,0.943084224513487,0.942409927325711
"B | Ix=0.7",6,"OLS",2.16557353077602,3.01252329429731,0.793912894580923,0.769682186680197
"B | Ix=0.7",6,"GraphSAGE",0.985094377254158,1.25886908683157,0.959885864692702,0.959781317556189
"B | Ix=0.7",6,"GraphSAGE + LayerNorm",1.03948607158587,1.31827941952625,0.956479166354923,0.955895627726233
"B | Ix=0.7",1,"XGBoost",1.07846843435622,1.43037708481583,0.909669011777945,0.908141498032563
"B | Ix=0.7",2,"XGBoost",1.00637818588529,1.26544430796371,0.928833825907074,0.928197282677172
"B | Ix=0.7",3,"XGBoost",1.02796183829312,1.31371030928513,0.950977779372461,0.950966180947305
"B | Ix=0.7",4,"XGBoost",1.14557613641358,1.51300935369531,0.953294510697705,0.95273662106317
"B | Ix=0.7",5,"XGBoost",1.00747099690265,1.28729818890692,0.944652934600278,0.944528617227247
"B | Ix=0.7",6,"XGBoost",1.053913036871,1.33822176765029,0.954588993757377,0.954551151866955
"B | Ix=0.7",1,"XGBoost + lags",1.06549225453877,1.41265902182507,0.910523720485283,0.910403103718643
"B | Ix=0.7",2,"XGBoost + lags",1.0330170560314,1.30235388459839,0.924204295254712,0.9239476170583
"B | Ix=0.7",3,"XGBoost + lags",1.04169767269864,1.32312015783692,0.950291297849938,0.950261226027551
"B | Ix=0.7",4,"XGBoost + lags",1.15770626886608,1.46448667528636,0.956007753888214,0.955719512844053
"B | Ix=0.7",5,"XGBoost + lags",1.00938477780905,1.29622398479859,0.943781733555511,0.94375670162292
"B | Ix=0.7",6,"XGBoost + lags",1.05068983829529,1.34182418597505,0.954746229867143,0.954306130992798
"C | Iu=0.0",1,"OLS",0.817512153245689,1.02055754187761,0.338475370356898,0.338391488362049
"C | Iu=0.0",1,"SEM",0.817513767170023,1.02055924745314,0.338473639913476,0.338389276974275
"C | Iu=0.0",1,"GraphSAGE",0.827997537934865,1.02884562432007,0.332582080719201,0.3276018334173
"C | Iu=0.0",1,"GraphSAGE + LayerNorm",0.841581241003468,1.04287066326076,0.309372792686864,0.309144861686607
"C | Iu=0.0",2,"OLS",0.794899499951386,1.00071735576297,0.375551018187312,0.375422569535326
"C | Iu=0.0",2,"SEM",0.794898816714445,1.00071615829796,0.375552151064387,0.375424064281416
"C | Iu=0.0",2,"GraphSAGE",0.81275369889111,1.02137764666703,0.355074337839283,0.349366949593096
"C | Iu=0.0",2,"GraphSAGE + LayerNorm",0.815856221199608,1.02691473266956,0.34309285293483,0.342293412406685
"C | Iu=0.0",3,"OLS",0.786503246029025,0.986268684222576,0.346009827969946,0.345972665459221
"C | Iu=0.0",3,"SEM",0.786503350451457,0.986267387887255,0.346012290429418,0.345974384743612
"C | Iu=0.0",3,"GraphSAGE",0.79272467930265,0.995309134571472,0.334853694847649,0.333927670854026
"C | Iu=0.0",3,"GraphSAGE + LayerNorm",0.80429438785854,1.00907536737787,0.318206822474717,0.315375208537104
"C | Iu=0.0",4,"OLS",0.801707373238285,1.00245524393012,0.380226853678629,0.37840794738127
"C | Iu=0.0",4,"SEM",0.801710632867047,1.00246711975212,0.380224379259123,0.378393219620913
"C | Iu=0.0",4,"GraphSAGE",0.816757677606076,1.02088068977028,0.366198785653439,0.355347832375213
"C | Iu=0.0",4,"GraphSAGE + LayerNorm",0.812418940668078,1.01608464707496,0.36321795065697,0.361390687027673
"C | Iu=0.0",5,"OLS",0.801228440090813,1.01279443554502,0.34262757609692,0.342343382311305
