"pair","outcome","insample","resid_moran","lag_r2"
"Broward -> San Diego (price)","WIN  +0.030",0.567280459904949,0.221476829908398,0.051446452526083
"Chicago -> LA (price)","WIN  +0.022",0.580417061979998,0.338398503971654,0.107535611245497
"Queens -> Brooklyn (311)","LOSS -0.057",0.5193456833804,0.12701571874497,0.0328530357728464
"Queens -> Brooklyn (trees)","LOSS -0.144",0.372224127181382,0.116144152827598,0.00538089312653928
"Broward -> SD (reviews)","LOSS -0.086",0.109380817680525,0.19418892154772,0.0507031794020083
"Iowa farms (NDVI)","not run",0.0267171914055893,0.532149623030543,0.00914023385127628
"King County -> Ames (price)","WIN  +0.218",0.530283184794922,0.615072859776025,0.282411933723528
"CA -> WV (diabetes)","LOSS -0.040",0.960205086822948,0.44613147096977,0.0751980074479059
